Level,Date,ApplicationName,ApplicationPresentation,Event,EventPresentation,User,UserName,Computer,Metadata,MetadataPresentation,Comment,Data,DataPresentation,TransactionStatus,TransactionID,Connection,Session,ServerName,Port,SyncPort
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Закончено регламентное получение и отправка электронной почты,,,NotApplicable,,31393,73176,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем4,Регламентное задание. Получение и отправка электронных писем №4,,Получение и отправка электронных писем №4,,NotApplicable,,31393,73176,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.ПоследнийЗапускПроверкиВыполненияПравилСобытий,Регистр сведений. Последний запуск проверки выполнения правил событий,,,,Committed,10.12.2024 14:06:33 (1437367795),31394,73177,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73176,,0,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Правила событий,Правила событий,00000000-0000-0000-0000-000000000000,,,,,Начало регламентной проверки правил событий. Интервал проверки (10.12.2024 14:01:34 - 10.12.2024 14:06:33),,,NotApplicable,,31394,73177,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.ВыполнениеПравилСобытий,Регистр сведений. Выполнение правил событий,,,,Committed,10.12.2024 14:06:33 (1437369292),31394,73177,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Правила событий,Правила событий,00000000-0000-0000-0000-000000000000,,,,,Окончание регламентной проверки правил событий.,,,NotApplicable,,31394,73177,app01,1564,0
Warning,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31396,73179,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.ВыполнениеПравилСобытий,Регистр сведений. Выполнение правил событий,,,,Committed,10.12.2024 14:06:33 (1437370029),31394,73177,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПроверкаВыполнениеПравилСобытий,Регламентное задание. Проверка и выполнение правил событий,,Проверка и выполнение правил событий,,NotApplicable,,31394,73177,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем2,Регламентное задание. Получение и отправка электронных писем №2,,Получение и отправка электронных писем №2,,NotApplicable,,31396,73179,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73177,,0,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Начато регламентное получение и отправка электронной почты,,,NotApplicable,,31395,73178,app01,1564,0
Warning,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31397,73180,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Закончено регламентное получение и отправка электронной почты,,,NotApplicable,,31395,73178,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем3,Регламентное задание. Получение и отправка электронных писем №3,,Получение и отправка электронных писем №3,,NotApplicable,,31395,73178,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОтправкаSMS,Регламентное задание. Отправка SMS,,,,NotApplicable,,31397,73180,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73178,,0,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Начато регламентное получение и отправка электронной почты,,,NotApplicable,,31396,73179,app01,1564,0
Warning,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31398,73181,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.ЗаблокированныеДляПолученияУчетныеЗаписи,Регистр сведений. Заблокированные для получения учетные записи,,,,Committed,10.12.2024 14:06:33 (1437374439),31396,73179,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем1,Регламентное задание. Получение и отправка электронных писем №1,,Получение и отправка электронных писем №1,,NotApplicable,,31398,73181,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОтправкаSMS,Регламентное задание. Отправка SMS,,,,NotApplicable,,31397,73180,app01,1564,0
Warning,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31399,73182,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73180,,0,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОтправкаИсходящихСообщений,Регламентное задание. Telegram отправка исходящих сообщений,,Telegram отправка исходящих сообщений,,NotApplicable,,31399,73182,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Начато регламентное получение и отправка электронной почты,,,NotApplicable,,31398,73181,app01,1564,0
Warning,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31400,73183,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Закончено регламентное получение и отправка электронной почты,,,NotApplicable,,31398,73181,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем1,Регламентное задание. Получение и отправка электронных писем №1,,Получение и отправка электронных писем №1,,NotApplicable,,31398,73181,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем5,Регламентное задание. Получение и отправка электронных писем №5,,Получение и отправка электронных писем №5,,NotApplicable,,31400,73183,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73181,,0,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОтправкаИсходящихСообщений,Регламентное задание. Telegram отправка исходящих сообщений,,Telegram отправка исходящих сообщений,,NotApplicable,,31399,73182,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73182,,0,0
Warning,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31401,73184,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеСтатусовДоставкиSMS,Регламентное задание. Обновление статусов доставки SMS,,,,NotApplicable,,31401,73184,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Начато регламентное получение и отправка электронной почты,,,NotApplicable,,31400,73183,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Закончено регламентное получение и отправка электронной почты,,,NotApplicable,,31400,73183,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем5,Регламентное задание. Получение и отправка электронных писем №5,,Получение и отправка электронных писем №5,,NotApplicable,,31400,73183,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73183,,0,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеСтатусовДоставкиSMS,Регламентное задание. Обновление статусов доставки SMS,,,,NotApplicable,,31401,73184,app01,1564,0
Information,2024-12-10T14:06:33,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73184,,0,0
Information,2024-12-10T14:06:35,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.ЗаблокированныеДляПолученияУчетныеЗаписи,Регистр сведений. Заблокированные для получения учетные записи,,,,Committed,10.12.2024 14:06:35 (1437384913),31396,73179,app01,1564,0
Information,2024-12-10T14:06:35,BackgroundJob,Фоновое задание,Взаимодействия,Взаимодействия,00000000-0000-0000-0000-000000000000,,,,,Закончено регламентное получение и отправка электронной почты,,,NotApplicable,,31396,73179,app01,1564,0
Information,2024-12-10T14:06:35,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ПолучениеИОтправкаЭлектронныхПисем2,Регламентное задание. Получение и отправка электронных писем №2,,Получение и отправка электронных писем №2,,NotApplicable,,31396,73179,app01,1564,0
Information,2024-12-10T14:06:35,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73179,,0,0
Warning,2024-12-10T14:06:37,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31406,73185,app01,1564,0
Information,2024-12-10T14:06:37,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,31406,73185,app01,1564,0
Information,2024-12-10T14:06:37,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.TelegramЖурналВыполнения,Регистр сведений. Журнал выполнения Telegram,,,,Committed,10.12.2024 14:06:37 (1437387152),31406,73185,app01,1564,0
Information,2024-12-10T14:06:37,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,31406,73185,app01,1564,0
Information,2024-12-10T14:06:37,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73185,,0,0
Warning,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31407,73186,app01,1564,0
Information,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.АвтоматическоеСозданиеРегламентныхЗаданийПоШаблонам,Регламентное задание. Автоматическое создание регламентных заданий по шаблонам,,Автоматическое создание регламентных заданий по шаблонам,,NotApplicable,,31407,73186,app01,1564,0
Warning,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31409,73187,app01,1564,0
Information,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,ScheduledJob.ОтправкаСерверныхОповещенийКлиентам,Регламентное задание. Отправка серверных оповещений клиентам,,,,NotApplicable,,31409,73187,app01,1564,0
Information,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.АвтоматическоеСозданиеРегламентныхЗаданийПоШаблонам,Регламентное задание. Автоматическое создание регламентных заданий по шаблонам,,Автоматическое создание регламентных заданий по шаблонам,,NotApplicable,,31407,73186,app01,1564,0
Information,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,Constant.СостояниеОтправкиСерверныхОповещений,Константа. Состояние отправки серверных оповещений,,,,Committed,10.12.2024 14:06:44 (1437390856),31409,73187,app01,1564,0
Information,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73186,,0,0
Information,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,Constant.СостояниеОтправкиСерверныхОповещений,Константа. Состояние отправки серверных оповещений,,,,Committed,10.12.2024 14:06:44 (1437391499),31409,73187,app01,1564,0
Information,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,ScheduledJob.ОтправкаСерверныхОповещенийКлиентам,Регламентное задание. Отправка серверных оповещений клиентам,,,,NotApplicable,,31409,73187,app01,1564,0
Information,2024-12-10T14:06:44,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,874224fe-1a54-47f5-b0a4-4acfef6158b8,ОтправкаСерверныхОповещений,app01,,,,,,NotApplicable,,0,73187,,0,0
Warning,2024-12-10T14:06:45,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31423,73188,app01,1564,0
Information,2024-12-10T14:06:45,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ИзвлечениеТекста,Регламентное задание. Извлечение текста файлов для поиска,,,,NotApplicable,,31423,73188,app01,1564,0
Information,2024-12-10T14:06:45,BackgroundJob,Фоновое задание,Файлы.Извлечение текста,Файлы.Извлечение текста,00000000-0000-0000-0000-000000000000,,,,,Начато регламентное извлечения текста,,,NotApplicable,,31423,73188,app01,1564,0
Information,2024-12-10T14:06:45,BackgroundJob,Фоновое задание,Файлы.Извлечение текста,Файлы.Извлечение текста,00000000-0000-0000-0000-000000000000,,,,,Закончено регламентное извлечение текста,,,NotApplicable,,31423,73188,app01,1564,0
Information,2024-12-10T14:06:45,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ИзвлечениеТекста,Регламентное задание. Извлечение текста файлов для поиска,,,,NotApplicable,,31423,73188,app01,1564,0
Information,2024-12-10T14:06:45,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73188,,0,0
Warning,2024-12-10T14:06:52,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31428,73189,app01,1564,0
Information,2024-12-10T14:06:52,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,31428,73189,app01,1564,0
Information,2024-12-10T14:06:52,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.TelegramЖурналВыполнения,Регистр сведений. Журнал выполнения Telegram,,,,Committed,10.12.2024 14:06:52 (1437395810),31428,73189,app01,1564,0
Information,2024-12-10T14:06:52,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,31428,73189,app01,1564,0
Information,2024-12-10T14:06:52,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73189,,0,0
Warning,2024-12-10T14:07:01,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31438,73190,app01,1564,0
Information,2024-12-10T14:07:01,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеИндексаППД,Регламентное задание. Обновление индекса ППД,,,,NotApplicable,,31438,73190,app01,1564,0
Information,2024-12-10T14:07:01,BackgroundJob,Фоновое задание,Полнотекстовое индексирование,Полнотекстовое индексирование,00000000-0000-0000-0000-000000000000,,,,,"Запуск процедуры ""Обновление индекса ППД"".",,,NotApplicable,,31438,73190,app01,1564,0
Information,2024-12-10T14:07:01,BackgroundJob,Фоновое задание,Полнотекстовое индексирование,Полнотекстовое индексирование,00000000-0000-0000-0000-000000000000,,,,,"Успешное завершение процедуры ""Обновление индекса ППД"".",,,NotApplicable,,31438,73190,app01,1564,0
Information,2024-12-10T14:07:01,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.ОбновлениеИндексаППД,Регламентное задание. Обновление индекса ППД,,,,NotApplicable,,31438,73190,app01,1564,0
Information,2024-12-10T14:07:01,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73190,,0,0
Warning,2024-12-10T14:07:07,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31449,73191,app01,1564,0
Information,2024-12-10T14:07:07,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,31449,73191,app01,1564,0
Information,2024-12-10T14:07:07,BackgroundJob,Фоновое задание,_$Data$_.Update,Данные. Изменение,00000000-0000-0000-0000-000000000000,,,InformationRegister.TelegramЖурналВыполнения,Регистр сведений. Журнал выполнения Telegram,,,,Committed,10.12.2024 14:07:07 (1437400199),31449,73191,app01,1564,0
Information,2024-12-10T14:07:07,BackgroundJob,Фоновое задание,_$Job$_.Finish,Фоновое задание. Успешное завершение,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,31449,73191,app01,1564,0
Information,2024-12-10T14:07:07,BackgroundJob,Фоновое задание,_$Session$_.Finish,Сеанс. Завершение,00000000-0000-0000-0000-000000000000,,,,,,,,NotApplicable,,0,73191,,0,0
Warning,2024-12-10T14:07:22,BackgroundJob,Фоновое задание,_$Session$_.ConfigExtensionApplyError,Сеанс. Ошибка применения расширения конфигурации,00000000-0000-0000-0000-000000000000,,,,,ПарсингHH: Низкая: Расширение неактивно и не будет применено,"
			
		",,NotApplicable,,31454,73192,app01,1564,0
Information,2024-12-10T14:07:22,BackgroundJob,Фоновое задание,_$Job$_.Start,Фоновое задание. Запуск,00000000-0000-0000-0000-000000000000,,,ScheduledJob.TelegramОбработкаВходящихСообщенийПриИспользованииПериодическихЗапросов,Регламентное задание. Обработка входящих сообщений Telegram при использовании периодических запросов,,,,NotApplicable,,31454,73192,app01,1564,0
